selected,combo,regioning,estimator,lip_anchored,px_per_mm (dev fit),"MAE dev, mm","MAE holdout, mm","ICC(2,1) dev","ICC(2,1) holdout","BA bias dev, mm","BA bias holdout, mm"
,A_min_lipanchored,A,min,True,13.625427539534178,0.6803336529579714,0.6766172260696193,0.8303209108359991,0.8078416518023634,0.1877085727736345,0.1604318433366663
,B_p25_lipanchored,B,p25,True,18.891321044709656,0.6818196011084313,0.5584636328451198,0.8202869427941355,0.8423336894392598,0.2684273143362441,0.3346921901407942
,A_median,A,median,False,20.651602742893857,0.7310421643543582,0.5251436119243715,0.8046148511509505,0.826421694961509,0.3114389248196066,0.2226360211267874
,B_median,B,median,False,20.33003415925599,0.7444100810197729,0.5538443959793213,0.791925774355025,0.8206883134473515,0.322108683504869,0.3052247924527114
,A_median_lipanchored,A,median,True,22.896560943891554,0.7577870695178123,0.5314180036981409,0.7810549547406445,0.8177525078899714,0.3348181544581377,0.3243156873145067
,B_median_lipanchored,B,median,True,22.549826420349568,0.7759047220005824,0.5778655721640793,0.7683848202249485,0.8043967263886104,0.3450489969020053,0.4166311226178892
,C_max,C,max,False,25.09036604436592,0.8254616807308242,0.8453792589088078,0.7116572664994031,0.5817592711515881,0.3635614389592595,0.4290100941385995
,C_max_lipanchored,C,max,True,27.34997056022122,0.855096610466893,0.8137221806968575,0.695225397626824,0.6027723122016626,0.3792882027966546,0.5105482500368554
,A_max,A,max,False,34.799558472318864,1.002070898980734,0.7979745225933587,0.6128932298863943,0.6197827973801626,0.5016982713623522,0.5116281584223852
,A_max_lipanchored,A,max,True,37.00455040301435,1.0179699752975502,0.8080964436881468,0.6004957247728001,0.6291666595013804,0.504757057189057,0.5697748762983303
,B_max,B,max,False,36.5767924443314,1.0321436421562578,0.8408386653386214,0.5873258071848844,0.5874855391191437,0.5172994019444462,0.5543529510254793
,B_max_lipanchored,B,max,True,38.78532465037433,1.0504438212052205,0.8512954917669004,0.5772631156134972,0.6023094023513021,0.5194649549944518,0.6093186552392662
