regioning,estimator,anchored,combo,px_per_mm_dev,scale_r2_dev,scale_resid_sd_mm,loo_px_per_mm_sd,loo_mae_dev,n_dev,mae_dev,rmse_dev,r_dev,r_p_dev,icc2_1_dev,icc2_1_ci_low_dev,icc2_1_ci_high_dev,icc3_1_dev,ba_bias_dev,ba_bias_ci_low_dev,ba_bias_ci_high_dev,ba_sd_dev,ba_loa_low_dev,ba_loa_high_dev,ba_prop_slope_dev,ba_prop_p_dev,threshold_agreement_dev,threshold_kappa_linear_dev,n_holdout,mae_holdout,rmse_holdout,r_holdout,r_p_holdout,icc2_1_holdout,icc2_1_ci_low_holdout,icc2_1_ci_high_holdout,icc3_1_holdout,ba_bias_holdout,ba_bias_ci_low_holdout,ba_bias_ci_high_holdout,ba_sd_holdout,ba_loa_low_holdout,ba_loa_high_holdout,ba_prop_slope_holdout,ba_prop_p_holdout,threshold_agreement_holdout,threshold_kappa_linear_holdout
A,max,False,A_max,33.186694975951134,-0.7036042759508634,1.0549481671774643,0.1650954711798591,0.9829080540577689,87,0.9716392631959541,1.1619512875922486,0.7937078528380913,4.823579635904271e-20,0.6295347463447074,0.42157051751936425,0.7625289606699786,0.6733639887915305,0.5000072929935927,0.2751673314776347,0.7248472545095507,1.0549481671774643,-1.5676911146742376,2.567705700661423,-0.6327272903515856,6.3989594000342565e-15,0.5057471264367817,0.43607778237484485,58,0.762812779302066,0.9692010855459537,0.7911923954363288,1.4592726405461008e-13,0.6456282544056968,0.34183370639363764,0.8048068952732005,0.7121689587925799,0.5095049866018112,0.2908275657407089,0.7281824074629135,0.8316735816473545,-1.1205752334270036,2.139585206630626,-0.5088747704937128,2.0344332011278365e-07,0.6379310344827587,0.5252387448840381
A,max,True,A_max_lipanchored,35.26262402445563,-0.6486024066464398,1.0432292674446078,0.17488389178430114,0.9737652016688907,87,0.9625354050021984,1.1490014894434557,0.8009376086182294,1.2454960025650093e-20,0.6380488447688846,0.4318588220860864,0.7688037383073398,0.6813646376515143,0.4943547587885169,0.27201243369387673,0.7166970838831571,1.0432292674446078,-1.5503746054029142,2.539084122979948,-0.6252508534160363,4.9165638799189205e-15,0.5287356321839081,0.4572300013863856,58,0.7487488620911203,0.9541380036307434,0.8067202621287499,2.0961145851572553e-14,0.6575530706474446,0.3422170502388893,0.8153726314086223,0.7267045031734538,0.5141075783967485,0.30091685156449716,0.7272983052289999,0.8108065965859381,-1.07507335091169,2.1032885077051873,-0.5029305415068162,1.0289950818521527e-07,0.6896551724137931,0.5920964501004689
B,p05,False,B_p05,13.554074079485146,0.744642207950941,0.7136736624138899,0.0540062261571752,0.5307392664853383,87,0.5230674602707457,0.7301000180664728,0.896953988594731,7.132104244917643e-32,0.8875646402506575,0.8304859973068308,0.9258011342307281,0.8920269169526243,0.1719601956320544,0.0198557000894799,0.3240646911746289,0.7136736624138899,-1.2268401826991697,1.5707605739632786,-0.1106444949680354,0.030908652266007378,0.7701149425287356,0.7359271523178808,58,0.542853184448647,0.7420393840841094,0.8661703232886268,1.6441775326070425e-18,0.8567562655161294,0.767571668778998,0.913093238365398,0.8620936549398475,0.1813335058372638,-0.009512783437775257,0.3721797951123028,0.7258262710455798,-1.2412859854120726,1.6039529970866002,0.10408374388636099,0.15043742083209583,0.7586206896551724,0.7314814814814815
B,p05,True,B_p05_lipanchored,16.06521111777527,0.7235102987600948,0.7058836505209072,0.06385830946672709,0.538668156092783,87,0.5308746267043539,0.7293298976981267,0.9000208584594463,2.1082298560147067e-32,0.8839949544003849,0.8223611660911453,0.924242959060218,0.8905302825889188,0.19843798236691718,0.04799376363103475,0.3488822011027996,0.7058836505209072,-1.185093972654061,1.5819699373878953,-0.1532263408119901,0.002652883513706322,0.7701149425287356,0.7314814814814815,58,0.5085979783839735,0.6956202082929436,0.8779809384965819,1.4573074856258894e-19,0.8685261068477185,0.7812008274379814,0.9214865341631259,0.8767092394703477,0.20519239848236398,0.02890049053658858,0.38148430642813935,0.6704730736230692,-1.1089348258188516,1.5193196227835797,0.05733770531092107,0.40319810805512823,0.7586206896551724,0.7356770833333333
B,p10,False,B_p10,14.699298704966415,0.7195923119107825,0.7254671757180087,0.0597621326232169,0.5531071717624012,87,0.5450808606509571,0.7464699238986024,0.8934359649445455,2.7557586744053498e-31,0.8800822978353295,0.817991140908627,0.9212213614916234,0.8859767899542503,0.19226070757752822,0.03764267330391771,0.34687874185113876,0.7254671757180086,-1.2296549568297686,1.614176371984825,-0.13674579126328898,0.009112452821383569,0.7701149425287356,0.7349030470914127,58,0.5205671412973718,0.7156322198985254,0.8721978451397303,4.919090315183814e-19,0.863631363101262,0.7770180007019942,0.9176642973848885,0.8697515876813323,0.18654906810093683,0.003302234332767273,0.3697959018691064,0.6969240352542482,-1.1794220409973897,1.5525201771992632,0.08005711378032393,0.25576168052084713,0.7413793103448276,0.7155003270111184
B,p10,True,B_p10_lipanchored,17.031743674228256,0.7051297927323792,0.7116724402614576,0.06837066931704917,0.5540992679730488,87,0.5461063319492839,0.7387848317860451,0.8990209041445025,3.1503505215078537e-32,0.879175409772346,0.8135115603142111,0.9215132289561008,0.8868962573682934,0.2124781112818294,0.060800134051468835,0.36415608851218995,0.7116724402614576,-1.1823998716306274,1.6073560941942864,-0.17349117381924015,0.0007601642844565162,0.7701149425287356,0.7314814814814815,58,0.49885027467916554,0.682797238808429,0.8806398526367207,8.158053200258932e-20,0.8712797100388274,0.784248289357727,0.9234683970275727,0.8800060353374445,0.20816924246229707,0.03569074321183796,0.38064774171275617,0.655969924393349,-1.0775318093486668,1.4938702942732611,0.0403543605232193,0.5512074349372904,0.7931034482758621,0.771353482260184
B,p25,False,B_p25,17.022661305666166,0.6575091484942324,0.7453547318175734,0.07054004027177352,0.59101386970358,87,0.5828704885527161,0.7776366743799022,0.8891069341082202,1.3646639902263955e-30,0.8638272263473158,0.7887076705693922,0.9118648097670177,0.8734978789590608,0.2356921626557841,0.07683551506713635,0.3945488102444319,0.7453547318175732,-1.2252031117066593,1.6965874370182277,-0.19915379014028062,0.00024875403088438626,0.7816091954022989,0.7369330453563714,58,0.4995956497791446,0.6863664158574563,0.8769240228089865,1.8284494387218494e-19,0.8678361455046322,0.7789246098543022,0.9213244649232881,0.8767070734208996,0.20872916768627425,0.035304286063327944,0.3821540493092206,0.6595692041645984,-1.0840264724763387,1.501484807848887,0.02370390353413008,0.7303403496275036,0.7931034482758621,0.7676902536715621
B,p25,True,B_p25_lipanchored,19.187770542657002,0.6361438629250378,0.7412676479797335,0.07945256663922795,0.6050154999635392,87,0.5967392524008379,0.7788100715363602,0.8926813195395022,3.6600602279990133e-31,0.8605296269432242,0.7802000515216692,0.910660032529571,0.8719718232445388,0.251760277874459,0.09377470604233012,0.40974584970658784,0.7412676479797337,-1.201124312165819,1.704644867914737,-0.2287961363894129,2.2688057347350864e-05,0.7816091954022989,0.7394094993581515,58,0.4841037013495808,0.6677023600768014,0.8837530505061224,4.063083669661857e-20,0.8716914774288077,0.7772107029843864,0.9253373033516907,0.8837337336847262,0.23284714757686087,0.0668679187362056,0.39882637641751617,0.6312519106243395,-1.0044065972468443,1.4701008924005663,-0.0070198118884125344,0.9161710376216904,0.7758620689655172,0.7534336167429693
B,median,False,B_median,20.754702129839036,0.4451965740452267,0.8356175258233777,0.09120631425385266,0.7085565800347908,87,0.6996426824168518,0.8898783196479967,0.8638679135286969,4.82824104820282e-27,0.808863275840348,0.6953428985931386,0.8785834424504473,0.8275651504678143,0.31883022569376307,0.14073596647450148,0.49692448491302466,0.8356175258233777,-1.3189801249200572,1.9566405763075831,-0.3139113602422426,4.259584892377475e-07,0.7126436781609196,0.6567080045095828,58,0.5497898326284127,0.7431656279447364,0.8613286562768224,4.157611242760851e-18,0.8233360366970625,0.6555374567896095,0.904154682157151,0.8525187148624298,0.3386623724946228,0.16320657404034603,0.5141181709488996,0.6672931834784633,-0.9692322671231655,1.646557012112411,-0.1540178571410895,0.0381841663420006,0.7586206896551724,0.7136273864384464
B,median,True,B_median_lipanchored,22.88856080135997,0.4271319788655238,0.8318949117439548,0.10079776166040147,0.7153257151257353,87,0.7062837948052559,0.889036957596278,0.8676462710795162,1.5841472188353516e-27,0.8072019011326145,0.6900479607682497,0.8782302427580557,0.8270404232732822,0.32602477766385307,0.148723915155821,0.5033256401718851,0.8318949117439547,-1.3044892493542979,1.9565388046820043,-0.3309620027108584,7.785662919188381e-08,0.6896551724137931,0.632497887918896,58,0.5396458570927699,0.7328330484390555,0.8720428549488067,5.077969189828535e-19,0.8266384038398662,0.6351042244779195,0.9099097101988457,0.8608433960383014,0.3608698907072346,0.19169836800794818,0.530041413406521,0.643392837001759,-0.900180069816213,1.621919851230682,-0.17169825857778423,0.01640308317837643,0.7413793103448276,0.7006451612903226
B,min,False,B_min,11.246230103119307,0.7790389133210847,0.7382002916339915,0.04471988018211828,0.5293778184608537,87,0.5211141256629922,0.7418660939855307,0.8937998594143639,2.4014845528368856e-31,0.8927297444958245,0.8405191408251306,0.9285348620983825,0.893674801538832,0.10811709028265884,-0.04921473921009273,0.2654489197754104,0.7382002916339916,-1.3387554813199645,1.5549896618852823,-0.01766687693338624,0.7317448560446158,0.7816091954022989,0.7439383321653819,58,0.6273037443251073,0.8312077852382289,0.8432521601844024,9.976399301496977e-17,0.8309883017768016,0.7307267094794173,0.8962534403822524,0.8332198948754778,0.15057221162965378,-0.06624413259115647,0.36738855585046404,0.8245955382487401,-1.4656350433378769,1.7667794665971843,0.1677859669991357,0.03451209802018576,0.7068965517241379,0.6754443712969058
B,min,True,B_min_lipanchored,14.404581543144348,0.7523290292088244,0.7059424508546452,0.056314674041896884,0.5225666535182584,87,0.5147955425371888,0.7215835308920283,0.8993026522446658,2.8144491589959415e-32,0.8904878151663068,0.8349401622153779,0.9277159838219343,0.8946893915772448,0.1675000405471129,0.017043289759717306,0.3179567913345085,0.7059424508546452,-1.2161471631279916,1.5511472442222176,-0.10678256569807336,0.034921231682791286,0.7816091954022989,0.7405934970893086,58,0.5195217307758597,0.712289238280894,0.8763079045872257,2.0849938123856473e-19,0.8664637437947106,0.7805262560485484,0.9196328638951717,0.8731383417857895,0.19310801383048465,0.01126078760296298,0.3749552400580063,0.6916010503221612,-1.1624300448009515,1.5486460724619207,0.09073051894498692,0.19063075537274632,0.7586206896551724,0.7356770833333333
B,max,False,B_max,34.64099220076121,-0.707471191956804,1.0600712661337144,0.1761514537082798,0.9824569544640384,87,0.9712556806943359,1.1669720819880463,0.7892157043085841,1.0891183268765164e-19,0.6269373585549443,0.4191015731613929,0.7604084585118186,0.6706779387304852,0.5009884530049886,0.2750566109511957,0.7269202950587815,1.0600712661337144,-1.5767512286170917,2.578728134627069,-0.6310016812254364,1.26203276768016e-14,0.5057471264367817,0.42825848849945236,58,0.7765158693474776,0.9686662405152977,0.7939950191008492,1.0408126672697757e-13,0.6473884738129095,0.3373692094455079,0.8072953090777718,0.7156429797290075,0.5153631405678584,0.29782109899750486,0.7329051821382119,0.8273555091296386,-1.1062536573262332,2.13697993846195,-0.5049482390871933,2.083362452063216e-07,0.603448275862069,0.5189117451891174
B,max,True,B_max_lipanchored,36.736877991807056,-0.6573265895649663,1.0481446184628707,0.18592992199868513,0.9738940097655548,87,0.9627210639416401,1.1539709393025455,0.79699881096348,2.6220699909162636e-20,0.6352997277191234,0.4290008709219557,0.7666396580594426,0.6786110106565654,0.49565053801234105,0.2722606094731254,0.7190404665515566,1.0481446184628707,-1.5587129141748852,2.5500139901995675,-0.624829461576442,8.302995495064192e-15,0.5402298850574713,0.4662576687116564,58,0.7608045926039746,0.9497628025990806,0.8137978121485074,8.160411855294935e-15,0.6627426438150229,0.3355452866793375,0.8211173794909583,0.7347305024817745,0.5225838713244979,0.3122362728643842,0.7329314697846117,0.7999936157714223,-1.0454036155874897,2.0905713582364855,-0.4957235134234662,9.246149159807203e-08,0.6206896551724138,0.536
C,p05,False,C_p05,16.059469602001325,0.6919742530049451,0.7771160606278104,0.06875511064179377,0.5743515384964775,87,0.5659682696390262,0.796399685506294,0.8766532616477076,9.62458307668252e-29,0.8655917260847711,0.7982209890139587,0.9110470342505592,0.8711936643754844,0.19309213971497524,0.02746623447976851,0.358718044950182,0.7771160606278104,-1.330055339115533,1.7162396185454833,-0.11910099945364014,0.034504322949239094,0.7701149425287356,0.7130359959845116,58,0.5038059487759979,0.7194893975398586,0.8881385559176432,1.470426420046102e-20,0.8666296571339446,0.7525126396249479,0.9253886917181211,0.8842852467126666,0.2916935652313663,0.11724767102839881,0.46613945943433377,0.6634523174096214,-1.0086729768914915,1.5920601073542242,0.09876506198770808,0.13369713468561967,0.7758620689655172,0.7390745501285347
C,p05,True,C_p05_lipanchored,18.23357905615762,0.6825397787458454,0.7561041839541895,0.07732954848999954,0.5741991935657663,87,0.5660074206418233,0.7809340834314665,0.8837325915577855,9.089211269054453e-30,0.8670473098761549,0.7977319608021595,0.9128010198139025,0.8743217453345169,0.21150814582964267,0.050360479137012804,0.37265581252227253,0.7561041839541897,-1.270456054720569,1.6934723463798542,-0.15530858591585625,0.004773105796772228,0.7701149425287356,0.7130359959845116,58,0.5064253272765963,0.6939682133717722,0.8924148547313026,5.235626201654397e-21,0.8709561521415642,0.7476671719324012,0.9299176553477453,0.8911035575175396,0.302038403713339,0.136323005050069,0.467753802376609,0.6302485121586514,-0.9332486801176176,1.5373254875442957,0.05731090428917853,0.3719432963704623,0.7758620689655172,0.7234583598219961
C,p10,False,C_p10,16.43200292503921,0.7133655727203798,0.7449840622149373,0.06857851117873721,0.5463589614418305,87,0.5383853751558847,0.7642735399711629,0.8871258123463327,2.7761024422616793e-30,0.8756177242101775,0.8123933185614205,0.9179429518898201,0.8810798280310758,0.1883935128723487,0.029615865695081123,0.3471711600496163,0.7449840622149373,-1.2717752490689285,1.6485622748136257,-0.12391887082266069,0.021400068404639434,0.7701149425287356,0.7130359959845116,58,0.47990652189503846,0.6848744434529427,0.8926547324496311,4.9346317104697056e-21,0.8751598505676369,0.7709274049998265,0.9296851307067412,0.8907417430914775,0.2695918044316071,0.1026059122324306,0.43657769663078355,0.6350804509354412,-0.9751658794018576,1.5143494882650717,0.06921408794804736,0.28096356938950834,0.7758620689655172,0.7550357374918779
C,p10,True,C_p10_lipanchored,18.562032069939818,0.6987926531291117,0.7342861834485273,0.07740472905764866,0.556981771365327,87,0.5489752171249651,0.7589544555310624,0.8910223367943787,6.779998444000218e-31,0.8741477666267169,0.8078018999542144,0.9176672236612631,0.8812401516569806,0.20744419477078152,0.050946574920901516,0.36394181462066155,0.7342861834485271,-1.2317567247883316,1.6466451143298946,-0.1571010640563061,0.0031967203881961815,0.7701149425287356,0.7130359959845116,58,0.48420004956104884,0.6706978645587319,0.8955538470438937,2.3855351033603755e-21,0.876380269313021,0.7601560598215291,0.9325509771910458,0.895104973918874,0.28734091069993634,0.12660207360502373,0.44807974779484894,0.6113216619719863,-0.910849546765157,1.4855313681650295,0.0334097515165913,0.5963562100031277,0.7931034482758621,0.7550357374918779
C,p25,False,C_p25,17.206167405775147,0.7241450143729506,0.7256102666105384,0.07114414537212775,0.526897030544629,87,0.5192453951333788,0.745419303734927,0.8933094232488181,2.8904943309683852e-31,0.88107619958533,0.8199247816454495,0.9217497353451625,0.8866056603055799,0.18759403356087867,0.03294550248015418,0.3422425646416032,0.7256102666105384,-1.2346020889957767,1.6097901561175338,-0.12963011707459302,0.013343841806927366,0.7471264367816092,0.7013729977116705,58,0.45070166601196193,0.6418935269505379,0.8963168773681071,1.9631922933371447e-21,0.8845728872600483,0.7965848815190937,0.9334116552369096,0.8961211622357917,0.22871801517258525,0.06964112110839024,0.3877949092367803,0.6050009631663759,-0.9570838726335115,1.414519902978682,0.02204127002644466,0.7256092108247442,0.7758620689655172,0.7495016611295682
