uid,image,group,gingiva_mask_iou,gingiva_boundary_iou,gingiva_n_columns_gt,gingiva_n_columns_pred,gingiva_n_columns_both,gingiva_columns_missed_frac,gingiva_columns_spurious_frac,gingiva_top_edge_mae_px,gingiva_top_edge_median_px,gingiva_top_edge_bias_px,gingiva_bottom_edge_mae_px,gingiva_bottom_edge_median_px,gingiva_bottom_edge_bias_px,gingiva_thickness_mae_px,lip_mask_iou,lip_boundary_iou
high/IMG_3693-_jpg,IMG_3693-_jpg,high,0.8542357595857334,0.47616121554059715,978,974,966,0.012269938650306749,0.008213552361396304,1.6097308488612836,1.0,0.6242236024844721,8.360248447204969,6.0,1.1014492753623188,8.796066252587991,0.8629888654600273,0.3514757378689345
high/IMG_3853-_jpg,IMG_3853-_jpg,high,0.7834138727976708,0.4539284992930721,759,744,739,0.026350461133069828,0.006720430107526882,2.7658998646820026,2.0,-2.3058186738836266,6.7577807848443845,6.0,1.72936400541272,8.682002706359945,0.8755729586548427,0.3183325554545678
high/IMG_6436-_jpg,IMG_6436-_jpg,high,0.676228780978293,0.258390459868609,913,692,684,0.2508214676889376,0.011560693641618497,5.483918128654971,5.0,-4.18859649122807,8.407894736842104,8.0,3.948830409356725,10.175438596491228,0.89435683178941,0.2761108912734806
high/IMG_6488-_jpg,IMG_6488-_jpg,high,0.8929273662769477,0.41505223653514556,808,823,808,0.0,0.018226002430133656,3.462871287128713,4.0,-2.6014851485148514,7.441831683168317,6.0,-1.6695544554455446,7.461633663366337,0.8757716824631323,0.4387662855623504
high/IMG_6706_jpg,IMG_6706_jpg,high,0.7882455680726574,0.33540495215547006,814,816,814,0.0,0.0024509803921568627,8.841523341523342,7.0,-8.544226044226043,6.063882063882064,4.0,-0.7051597051597052,11.647420147420148,0.8552703117345922,0.2279276583009107
high/IMG_6726_jpg,IMG_6726_jpg,high,0.7576733331363918,0.4106644127590769,926,759,759,0.18034557235421167,0.0,2.8642951251646904,2.0,-2.429512516469038,6.86429512516469,6.0,1.678524374176548,8.123847167325428,0.8074088267228715,0.33823381331185176
high/IMG_6745_jpg,IMG_6745_jpg,high,0.8360410218374246,0.41817271867875216,941,960,941,0.0,0.019791666666666666,2.5908607863974495,2.0,0.43783209351753455,9.115834218916048,6.0,4.450584484590861,9.126461211477151,0.854884914130977,0.2577698270721527
high/IMG_6758_jpg,IMG_6758_jpg,high,0.8406623586429726,0.4835271586777318,1017,1021,1011,0.0058997050147492625,0.009794319294809012,1.891196834817013,2.0,0.39762611275964393,7.672601384767557,6.0,4.422354104846686,7.154302670623146,0.7188867369629152,0.4154199701252442
high/IMG_6768_jpg,IMG_6768_jpg,high,0.8069619746924541,0.3599801800313816,926,940,926,0.0,0.014893617021276596,6.413606911447085,5.0,-6.33585313174946,6.1879049676025915,5.0,2.485961123110151,9.94708423326134,0.8670528832323152,0.35410342440219417
high/IMG_6896_jpg,IMG_6896_jpg,high,0.8854055717295084,0.44974413440185385,834,858,834,0.0,0.027972027972027972,3.394484412470024,3.0,-2.4784172661870505,6.718225419664269,5.0,3.0035971223021583,7.47242206235012,0.8723379246230619,0.22351576994434139
