uid,e_total,e_seg,e_meas,gingiva_mask_iou,gingiva_boundary_iou,gingiva_top_edge_bias_px,gingiva_bottom_edge_bias_px,gingiva_thickness_mae_px,gingiva_columns_missed_frac,gingiva_columns_spurious_frac
high/IMG_3811-_jpg,1.3995873915917567,0.7817664358971319,0.6178209556946248,0.8464979073705285,0.2949878841984441,-4.682242990654205,4.516095534787124,11.916926272066458,0.002072538860103627,0.009259259259259259
high/IMG_6918_jpg,1.0352005656426524,0.24986838615699503,0.7853321794856574,0.9106496916957378,0.5351088742092203,1.7102085620197585,0.3402854006586169,6.190998902305159,0.0,0.009782608695652175
high/IMG_8648_jpg,-1.4119022752372015,-0.01979155533916721,-1.3921107198980343,0.8609422577781772,0.31171735241502685,2.5879732739420938,0.6948775055679287,10.701559020044543,0.022850924918389554,0.014270032930845226
high/IMG_6847_jpg,0.7638586348576792,0.41562266212252563,0.3482359727351536,0.8465644911313931,0.4205441865782554,-1.0554994954591321,0.42785065590312815,7.596367305751766,0.0,0.009
high/IMG_2718-_jpg,0.352467755598042,-0.4156226621225252,0.7680904177205672,0.7847668775077532,0.3424653537563822,1.5648148148148149,-9.474537037037036,12.73611111111111,0.03571428571428571,0.0
high/IMG_6474-_jpg,0.32848174229019955,0.6036424378446203,-0.2751606955544208,0.8371537583368384,0.3861851499286054,-2.667044167610419,5.657984144960363,10.836919592298981,0.014508928571428572,0.0
high/IMG_6857-_jpg,0.20465776046676432,-0.6877565480360839,0.8924143085028482,0.755557701904348,0.3431450755158477,4.103556485355648,-1.8064853556485356,12.926778242677825,0.035317860746720484,0.006237006237006237
high/IMG_6724_jpg,-0.049310794710113015,-0.24739444173959857,0.19808364702948555,0.7719466165820887,0.37331363585684024,2.438372093023256,-2.2651162790697676,12.424418604651162,0.04338153503893215,0.011494252873563218
high/IMG_7382_jpg,-0.20249679178887936,-0.01484366650437563,-0.18765312528450373,0.7453935926196658,0.41023356456437343,3.3006912442396312,4.220046082949309,7.317972350230415,0.003444316877152698,0.0022988505747126436
high/IMG_6586-_jpg,0.2915773216483991,0.2276028864004307,0.06397443524796842,0.7939486683848798,0.4823354143019296,-0.581081081081081,0.5171990171990172,7.031941031941032,0.09655937846836848,0.0
high/IMG_3853-_jpg,0.7900283731737342,0.4131487177051296,0.3768796554686046,0.7833968606500795,0.4538697689449022,-2.3058186738836266,1.7253044654939107,8.686062246278755,0.026350461133069828,0.006720430107526882
high/IMG_7311_jpg,0.5154367560849138,0.6234339931837882,-0.10799723709887443,0.785155020459553,0.38896474677259185,-3.5874125874125875,3.7086247086247086,9.554778554778554,0.06331877729257641,0.035955056179775284
high/IMG_7347_jpg,0.6387606923877724,0.9079376011843268,-0.2691769087965543,0.837438330170778,0.48116091361840974,-1.2688039457459925,2.8335388409371145,7.0147965474722564,0.07101947308132875,0.009768009768009768
high/IMG_8645_jpg,0.6303010889313749,-0.16822822038292706,0.798529309314302,0.7819305473808122,0.43402843601895735,-2.441588785046729,-6.3516355140186915,11.473130841121495,0.009259259259259259,0.0034924330616996507
high/IMG_2648_jpg,2.0035954982128223,-0.34635221843543995,2.3499477166482623,0.9038935188443095,0.4209740623250606,3.7261904761904763,-1.1158008658008658,8.37012987012987,0.011764705882352941,0.0
high/IMG_7337_jpg,0.6540513115863726,0.42057055095731766,0.23348076062905498,0.7872111043730207,0.4745330203123405,-2.8065934065934064,3.440659340659341,8.053846153846154,0.006550218340611353,0.03397027600849257
high/IMG_2855_jpg,0.8476475183368763,0.1583324427133439,0.6893150756235324,0.8674054312880498,0.4476728382010934,0.28365878725590954,-2.3504624871531345,7.528263103802672,0.02112676056338028,0.0
high/IMG_8630_jpg,-0.4394458344713481,0.08164016577406752,-0.5210860002454156,0.7765712225657384,0.2102749558303887,-11.517099863201095,4.045143638850889,16.213406292749657,0.0,0.17494356659142213
high/IMG_2686_jpg,0.4409287405050013,0.12369722086979884,0.31723151963520246,0.8214198703893193,0.32156196069340337,-3.3631633714880333,-4.483870967741935,9.443288241415193,0.015368852459016393,0.012332990750256937
high/IMG_8564_jpg,0.09706752482850645,0.11874933203500726,-0.021681807206500814,0.8234046477314644,0.4362231534834992,-2.212192262602579,1.3012895662368114,8.882766705744432,0.00117096018735363,0.02957906712172924
high/IMG_8594_jpg,-1.5925789208060697,-0.11874933203500682,-1.4738295887710628,0.8798399748980232,0.5040807630535252,-1.346281908990011,-0.30632630410654826,6.340732519422864,0.024891774891774892,0.0
high/gg_jpg,0.03773151963520238,0.2820296635831423,-0.24429814394793992,0.8309759137416307,0.37732143372902405,-3.94920993227991,2.206546275395034,10.677200902934537,0.005611672278338945,0.0022522522522522522
high/IMG_3129_jpg,0.18018217137111936,-0.3141909410092909,0.49437311238041026,0.8854979891175775,0.40808004858440095,3.051282051282051,-4.921911421911422,9.178321678321678,0.0,0.022779043280182234
high/IMG_8601_jpg,0.12020042908091999,-0.029687333008751926,0.14988776208967192,0.7603199236003343,0.40610196442177093,0.3505747126436782,-2.65632183908046,7.786206896551724,0.039735099337748346,0.0
