model,seed,settings,conf,max_det,imgsz,class,box_precision,box_recall,box_f1,box_map50,box_map50_95,seg_precision,seg_recall,seg_f1,seg_map50,seg_map50_95
yolo11x-seg,44,standard,0.001,300,,dudak,0.9672806976140176,0.9947368421052633,0.9808166615183378,0.9914271219014296,0.729739318867912,0.9587883206669772,0.9842105263157894,0.9713331113648852,0.979563488229915,0.6948914044156821
yolo11x-seg,44,standard,0.001,300,,all,0.8099677395715491,0.8062421546001888,,0.7968025111105175,0.4980036078466399,0.7668949815176969,0.731831290555155,,0.7294911427318611,0.4397766706368392
yolo11x-seg,44,operating_point,0.25,20,,diseti,0.6494845360824743,0.6472602739726028,0.6483704974271012,0.5317989899308158,0.2405523345222183,0.5756732505380637,0.4794520547945205,0.5231752503058688,0.3951312660958418,0.1548227756922071
yolo11x-seg,44,operating_point,0.25,20,,dudak,0.9692307692307692,0.9947368421052633,0.981818181818182,0.9914271219014296,0.7266291493763867,0.958974358974359,0.9842105263157894,0.9714285714285716,0.979563488229915,0.6948914044156821
yolo11x-seg,44,operating_point,0.25,20,,all,0.8093576526566217,0.820998558038933,,0.7616130559161227,0.4835907419493025,0.7673238047562114,0.731831290555155,,0.6873473771628784,0.4248570900539445
yolo26x-seg,42,standard,0.001,300,,diseti,0.6659148536153471,0.6472602739726028,0.6564550630580348,0.6363460181844645,0.278796623123195,0.5763322526677535,0.5205479452054794,0.5470215807770766,0.5028613678175748,0.2042957290251284
yolo26x-seg,42,standard,0.001,300,,dudak,0.9808050288059796,0.9894736842105264,0.9851202867223324,0.9899834372821776,0.7379507899422993,0.9762321317175238,0.9842105263157894,0.9802050942188408,0.9811782808512668,0.6893015733548599
yolo26x-seg,42,standard,0.001,300,,all,0.8233599412106634,0.8183669790915645,,0.813164727733321,0.508373706532747,0.7762821921926386,0.7523792357606345,,0.7420198243344207,0.4467986511899942
yolo26x-seg,42,operating_point,0.25,20,,diseti,0.6742556917688266,0.6592465753424658,0.6666666666666666,0.5571387586865326,0.2502771881321369,0.5886071525434394,0.5205479452054794,0.5524894478898125,0.44456555552438,0.1824414401561443
yolo26x-seg,42,operating_point,0.25,20,,dudak,0.9894736842105264,0.9894736842105264,0.9894736842105264,0.9821674641148322,0.7336953616542506,0.9842105263157894,0.9842105263157894,0.9842105263157894,0.981408950182944,0.6871629729984428
yolo26x-seg,42,operating_point,0.25,20,,all,0.8318646879896765,0.824360129776496,,0.7696531114006824,0.4919862748931937,0.7864088394296145,0.7523792357606345,,0.7129872528536619,0.4348022065772937
yolo26x-seg,43,standard,0.001,300,,diseti,0.6902633520956968,0.6335616438356164,0.6606981819761971,0.6264422588986808,0.275769525221076,0.6270312172260784,0.4777397260273973,0.5422983357003125,0.4803237369749971,0.19093297727551
yolo26x-seg,43,standard,0.001,300,,dudak,0.9652577639247804,0.9947368421052633,0.979775614636978,0.990820541892223,0.7321297818459358,0.9619551116916408,0.9842105263157894,0.9729555678924994,0.980676448108308,0.684841174255587
yolo26x-seg,43,standard,0.001,300,,all,0.8277605580102386,0.8141492429704398,,0.8086314003954519,0.503949653533506,0.7944931644588595,0.7309751261715933,,0.7305000925416525,0.4378870757655486
yolo26x-seg,43,operating_point,0.25,20,,diseti,0.6774774774774774,0.6438356164383562,0.6602282704126426,0.5483782378739452,0.2459232866903854,0.6371784857172172,0.4777397260273973,0.5460588444792989,0.417044539375784,0.1695547389446486
yolo26x-seg,43,operating_point,0.25,20,,dudak,0.9792746113989638,0.9947368421052633,0.9869451697127936,0.991242188819456,0.7278620440081696,0.9753575403011866,0.9842105263157894,0.979764035186782,0.9809884937794494,0.682742866815467
yolo26x-seg,43,operating_point,0.25,20,,all,0.8283760444382207,0.8192862292718097,,0.7698102133467006,0.4868926653492774,0.8062680130092019,0.7309751261715933,,0.6990165165776168,0.4261488028800578
yolo26x-seg,44,standard,0.001,300,,diseti,0.6286495773381185,0.6261322407745598,0.627388383922773,0.6092014449829544,0.2581866437953801,0.6398044264915982,0.4957748040876719,0.5586557162312508,0.5433347887462281,0.2147256069314493
yolo26x-seg,44,standard,0.001,300,,dudak,0.9427055613917292,0.9947368421052633,0.9680225347409496,0.9924749712491348,0.72399387007394,0.9669685126374462,0.9947368421052633,0.9806561442580692,0.9933555457039148,0.6977370351535588
yolo26x-seg,44,standard,0.001,300,,all,0.7856775693649238,0.8104345414399114,,0.8008382081160446,0.49109025693466,0.8033864695645222,0.7452558230964675,,0.7683451672250715,0.4562313210425041
yolo26x-seg,44,operating_point,0.25,20,,diseti,0.624,0.6678082191780822,0.6451612903225806,0.5500172422077811,0.2385119106748942,0.5568,0.5958904109589042,0.575682382133995,0.4743995271381274,0.1893972685925497
yolo26x-seg,44,operating_point,0.25,20,,dudak,0.9593908629441624,0.9947368421052633,0.9767441860465116,0.9926272231423194,0.7182521940797579,0.9593908629441624,0.9947368421052633,0.9767441860465116,0.9934575534759356,0.6967485501170017
yolo26x-seg,44,operating_point,0.25,20,,all,0.7916954314720812,0.8312725306416726,,0.7713222326750503,0.478382052377326,0.7580954314720811,0.7953136265320837,,0.7339285403070315,0.4430729093547756
