scale,subset,scoring,n_consensus_pending_excluded,n_model_unclassified,n,kappa_linear,kappa_linear_ci_low,kappa_linear_ci_high,kappa_unweighted,kappa_unweighted_ci_low,kappa_unweighted_ci_high,observed_agreement,observed_agreement_ci_low,observed_agreement_ci_high,pabak,pabak_ci_low,pabak_ci_high
expert,"all 145 images, OOF (primary)",strict,12,0,133,0.4748115352399186,0.3222073167721139,0.6073277495213442,0.41242696308963944,0.25435710226596375,0.5580940401510034,0.7669172932330827,0.6917293233082706,0.8345864661654135,0.6892230576441102,0.5889724310776941,0.7794486215538847
expert,"all 145 images, OOF (primary)",lenient,12,0,133,0.6982823809009397,0.5514921603754431,0.8144059342178998,0.6675437442441785,0.5178773229050042,0.7917156030185853,0.8571428571428571,0.7969924812030075,0.9097744360902256,0.8095238095238094,0.7293233082706766,0.8796992481203008
expert,"all 145 images, OOF (primary)",lenient2,12,0,133,0.6982823809009397,0.5514921603754431,0.8144059342178998,0.6675437442441785,0.5178773229050042,0.7917156030185853,0.8571428571428571,0.7969924812030075,0.9097744360902256,0.8095238095238094,0.7293233082706766,0.8796992481203008
expert,fixed test subset (secondary),strict,2,0,27,0.3601895734597156,-0.1095890410958904,0.6851871729504899,0.28191489361702127,-0.10958904109589018,0.6562142223655569,0.8148148148148148,0.6666666666666666,0.9259259259259259,0.7530864197530863,0.5555555555555555,0.9012345679012346
expert,fixed test subset (secondary),lenient,2,0,27,0.8029197080291971,0.36220472440944884,1.0,0.7652173913043478,0.3076923076923076,1.0,0.9259259259259259,0.8148148148148148,1.0,0.9012345679012346,0.7530864197530863,1.0
expert,fixed test subset (secondary),lenient2,2,0,27,0.8029197080291971,0.36220472440944884,1.0,0.7652173913043478,0.3076923076923076,1.0,0.9259259259259259,0.8148148148148148,1.0,0.9012345679012346,0.7530864197530863,1.0
expert_corrected,"all 145 images, OOF (primary)",strict,12,0,133,0.4748115352399186,0.3222073167721139,0.6073277495213442,0.41242696308963944,0.25435710226596375,0.5580940401510034,0.7669172932330827,0.6917293233082706,0.8345864661654135,0.6892230576441102,0.5889724310776941,0.7794486215538847
expert_corrected,"all 145 images, OOF (primary)",lenient,12,0,133,0.6982823809009397,0.5514921603754431,0.8144059342178998,0.6675437442441785,0.5178773229050042,0.7917156030185853,0.8571428571428571,0.7969924812030075,0.9097744360902256,0.8095238095238094,0.7293233082706766,0.8796992481203008
expert_corrected,"all 145 images, OOF (primary)",lenient2,12,0,133,0.6982823809009397,0.5514921603754431,0.8144059342178998,0.6675437442441785,0.5178773229050042,0.7917156030185853,0.8571428571428571,0.7969924812030075,0.9097744360902256,0.8095238095238094,0.7293233082706766,0.8796992481203008
expert_corrected,fixed test subset (secondary),strict,2,0,27,0.3601895734597156,-0.1095890410958904,0.6851871729504899,0.28191489361702127,-0.10958904109589018,0.6562142223655569,0.8148148148148148,0.6666666666666666,0.9259259259259259,0.7530864197530863,0.5555555555555555,0.9012345679012346
expert_corrected,fixed test subset (secondary),lenient,2,0,27,0.8029197080291971,0.36220472440944884,1.0,0.7652173913043478,0.3076923076923076,1.0,0.9259259259259259,0.8148148148148148,1.0,0.9012345679012346,0.7530864197530863,1.0
expert_corrected,fixed test subset (secondary),lenient2,2,0,27,0.8029197080291971,0.36220472440944884,1.0,0.7652173913043478,0.3076923076923076,1.0,0.9259259259259259,0.8148148148148148,1.0,0.9012345679012346,0.7530864197530863,1.0
